tweet,hate_speech,offensive_language,neither,mentions,hashtags,original_tweet
<MENTION> <MENTION> well how about those yankees this year what a run # wtfiswrongwithnebraska,0,0,1,"['@BrenJJGMom', '@hweldon']",['#wtfiswrongwithnebraska'],@BrenJJGMom @hweldon Well...how about those Yankees this year? What a run. #wtfiswrongwithnebraska
<MENTION> i m not mexican enough for the real beaners yet too mexican for the americanized beaners,0,1,0,['@BrendaGisselCA'],[],@BrendaGisselCA I'm not Mexican enough for the real beaners yet too Mexican for the Americanized beaners :(
<MENTION> that you got hoes damn,0,1,0,['@BrendaGisselCA'],[],@BrendaGisselCA that you got hoes damn
<MENTION> then what the hell are the perks of being your hoe this is some bullshit,0,1,0,['@BrendaGisselCA'],[],@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit
<MENTION> <MENTION> ugh your with tebow you re officially a fag now and in followed,0,1,0,"['@BrendanSchaub', '@TimTebow']",[],@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.
<MENTION> they said some bullshit damn niggers,1,0,0,['@Brenddan_'],[],@Brenddan_ they said some bullshit. Damn niggers
<MENTION> wow are you comin back up here ???? they some bitch niggas,1,0,0,['@Brenddan_'],[],@Brenddan_ wow!!! Are you comin back up here? ???? they some bitch niggas
<MENTION> <MENTION> can i beat this bitch up seriously what a bitch,0,1,0,"['@BretVonDehl', '@com_lowery']",[],@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch
<MENTION> damn you bitch you never answer me anymore lmao jk ily anyway glad of your first show be safe when going to the next one,0,1,0,['@BretVonDehl'],[],"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one"
<MENTION> younow is a fucking bitch shit load of hate on there when i did my first broadcast,0,1,0,['@BretVonDehl'],[],@BretVonDehl YOUNOW is a fucking bitch... Shit load of hate on there when I did my first broadcast
<MENTION> i d like to rape the bitch that posted that,1,0,0,['@Briana_Rashae'],[],@Briana_Rashae I'd like to rape the bitch that posted that.
<MENTION> my trick is i wait for the bird to get close to the pipe and then tap the screen so you never hit your head,0,0,1,['@BriannaLovesA'],[],@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.
<MENTION> <MENTION> ja moest van plisie niet meteen wild gaan denken juistja willen wel meer mensen mij vertellen hoe k moet denken,0,0,1,"['@Briccone79', '@pvvrivierenland']",[],"@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken"
<MENTION> fuck you faggot,1,0,0,['@Brice2254'],[],"@Brice2254 Fuck you, faggot."
<MENTION> <MENTION> da fuck that hoe look sad,0,1,0,"['@Briscoefunnyguy', '@_KaeeJones']",[],@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad
<MENTION> lol he still a lil bitch,0,1,0,['@Briscoefunnyguy'],[],@Briscoefunnyguy lol he still a lil bitch
<MENTION> these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,1,0,0,['@Brizgotti'],[],@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
<MENTION> hoes not women like to be the center of attention,0,1,0,['@BroadwayMensa'],[],"@BroadwayMensa hoes not women, like to be the center of attention"
<MENTION> we niggas like fuckin roaches let one in and you hot dam infested you a crazy bitch i dig yo ass,0,1,0,['@BrocktonBitch'],[],"@BrocktonBitch 
We niggas like fuckin roaches. Let one in and you hot dam infested. You a crazy bitch. I dig yo ass"
<MENTION> these kids are pussies we got a white trash kid a thugnasty wanna be up in here ?,0,1,0,['@BrodyWayneLyles'],[],@BrodyWayneLyles these kids are pussies. We got a white trash kid & a ThugNasty wanna be up in here ?
<MENTION> take your queer ass dubstep out of here,0,1,0,['@BrotherDiabeats'],[],@BrotherDiabeats take your queer ass dubstep out of here
<MENTION> we had a pacer in the 70s i member loving when hair of the dog came on the quadraphonic stereo so i could say bitch lol,0,1,0,['@Brutal_Brandy'],[],"@Brutal_Brandy We had a Pacer in the 70s & I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol"
<MENTION> atl bvb sws ptv the relapse symphony set it off farewell my love mayday parade fob paramore etc,0,0,1,['@BryanStars'],[],"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc"
<MENTION> <MENTION> we gunna laff at chava rubio beaner supporters in a min,0,0,1,"['@Buckm00se', '@Cuauhtli02']",[],@Buckm00se @Cuauhtli02 we gunna laff at Chava/Rubio beaner supporters in a min
<MENTION> <MENTION> i didn t spoil anything you should have been watched it nigger nig nog,0,1,0,"['@Buckm00se', '@DaRealAlexInLA']",[],@Buckm00se @DaRealAlexInLA I didn't spoil anything & you should have been watched it nigger nig nog
<MENTION> <MENTION> sand nigger ran over some kidd,1,0,0,"['@Buckm00se', '@letsargueboxing']",[],@Buckm00se @letsargueboxing sand nigger ran over some Kidd
<MENTION> i don t like the sand nigger but it s entertaining like 6 knockdowns,1,0,0,['@Buckm00se'],[],@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns
<MENTION> joe cortez is the ultimate faggot that fight proved it,1,0,0,['@Buckm00se'],[],@Buckm00se Joe Cortez is the ultimate faggot that fight proved it
<MENTION> all i remember was the fat bitch stealing the kfc bucket hauling ass,0,1,0,['@Buckm00se'],[],@Buckm00se all I remember was the fat bitch stealing the KFC bucket & hauling ass
<MENTION> all us beaners were pissed like robert when the jew ref stopped it,1,0,0,['@Buckm00se'],[],@Buckm00se all us beaners were pissed like robert when the jew ref stopped it
<MENTION> true sand niggers bum brits claim he s a atg hall of fame legend smh,1,0,0,['@Buckm00se'],[],@Buckm00se true sand niggers & bum Brits claim he's a ATG hall of fame legend smh
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> wait wait wait the new one or the ep son of a bitch lucky,0,1,0,"['@Buffalodave1', '@BretVonDehl', '@AlexFoxx13', '@brandonkilexxx', '@JCCharles8', '@TylerGloyd']",[],"@Buffalodave1 @BretVonDehl @AlexFoxx13 @brandonkilexxx @JCCharles8 @TylerGloyd Wait,wait,wait, The new one or the EP?Son of a bitch Lucky ;)"
<MENTION> i ve decided that # bullsnation are retarded # love,0,1,0,['@Bullskickass'],"['#BullsNation', '#love']",@Bullskickass I've decided that #BullsNation are retarded. #love
<MENTION> huh last 10 games tampa 8 2 balt 7 3 yanks 6 4 and they lost their best pitcher please explain your logic,0,0,1,['@Buster_ESPN'],[],@Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.
<MENTION> sounds like they are holding back info yankee shill,0,0,1,['@Buster_ESPN'],[],@Buster_ESPN Sounds like they are holding back info.......Yankee shill
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> hookers are always complimentary who wants to be with a bitch,0,1,0,"['@Buy_Mortimer', '@WiigJosh', '@iowa51005', '@TC_live2014', '@todd_calfee']",[],@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?
<MENTION> <MENTION> <MENTION> that game winning hit in thursday capped a great career the guy is a 1st ballot hof or else,0,0,1,"['@Bywatergal', '@Yankees', '@EmpireStateBldg']",[],@Bywatergal @Yankees @EmpireStateBldg That game winning hit in Thursday capped a great career. The guy is a 1st ballot HOF. Or else.
<MENTION> <MENTION> <MENTION> pussies,0,1,0,"['@C0MMONLY', '@scorpiogans93', '@EcliptiK']",[],@C0MMONLY @scorpiogans93 @EcliptiK pussies
<MENTION> <MENTION> <MENTION> eating a roasted potato and smiling till my cheeks are sore the crow sfx in this cape crisis are super great,0,0,1,"['@CAntista', '@Brelston', '@hEnereyG']",[],@CAntista @Brelston @hEnereyG Eating a roasted potato and smiling till my cheeks are sore; the crow SFX in this Cape Crisis are super-great
<MENTION> <MENTION> tx trash you know trouble w aca is in gop gov states but like <MENTION> <MENTION> you report lies anyway,0,0,1,"['@CBSThisMorning', '@NorahODonnell', '@60', '@LaraLogan_News']",[],@CBSThisMorning @NorahODonnell tx trash you know trouble w ACA is in GOP gov states but like @60 @LaraLogan_News you report lies anyway
<MENTION> <MENTION> <MENTION> tx trash your show was a disgrace this am engaging w <MENTION> disrespecting the president,0,0,1,"['@CBSThisMorning', '@charlierose', '@NorahODonnell', '@MittRomney']",[],@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President
<MENTION> <MENTION> racist <MENTION> tx trash enjoy your high along with gop win a substitute for racist <MENTION> loss,0,0,1,"['@CBSThisMorning', '@charlierose', '@NorahODonnell', '@MittRomney']",[],@CBSThisMorning @charlierose racist @NorahODonnell tx trash enjoy your high along with gop win a substitute for racist @MittRomney loss!
<MENTION> <MENTION> racist <MENTION> tx trash racist why wld u intvw <MENTION> n ask racist questions itwas so disrespectful,1,0,0,"['@CBSThisMorning', '@charlierose', '@NorahODonnell', '@MittRomney']",[],@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful
<MENTION> <MENTION> there isn t a green one either there s red and yellow in that pic,0,0,1,"['@CCobey', '@tess_stepakoff']",[],@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...
<MENTION> i jus wanna let you know okc trash ibaka ain t shit y all ain t goin nowhere without harden,0,1,0,['@CDNBallJunkie'],[],"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden"
<MENTION> spurs bitch that s the team you dont want no problems,0,1,0,['@CDNBallJunkie'],[],"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems"
<MENTION> hey sir house nigger uncle tom aren t you from grand ole mississippi i rest my case,1,0,0,['@CHARLESBARRKLEY'],[],"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!"
<MENTION> <MENTION> bitch mind your business,0,1,0,"['@CHILDISHCUDl', '@CheefPolo']",[],@CHILDISHCUDl @CheefPolo bitch mind your business
<MENTION> <MENTION> oh you mean like how you started to be a cunt to jp about something that has nothing to do with you,0,1,0,"['@CMBGaming11', '@BeechHD']",[],@CMBGaming11 @BeechHD oh you mean like how you started to be a cunt to JP about something that has nothing to do with you?
<MENTION> now mfa don t wanna spend a dime wit em prolly out here yelling money over bitches,0,1,0,['@COK3COKE'],[],"@COK3COKE Now, mfa don't wanna spend a dime wit em. Prolly out here yelling money over bitches."
<MENTION> i just really miss you and i know we can drink it off and talk about all of our problems like basic bitches,0,1,0,['@CR4ZYF0RU'],[],@CR4ZYF0RU I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches
<MENTION> waddup doe lil nicca,0,1,0,['@CRYaboutitNIGGA'],[],@CRYaboutitNIGGA waddup doe Lil nicca
<MENTION> punk ass bitch # bullstalk,0,1,0,['@CSNChicago'],['#BullsTalk'],@CSNChicago Punk ass bitch. #BullsTalk
<MENTION> i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,0,1,0,['@CSVNDY'],[],@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches
<MENTION> press start bitch ?,0,1,0,['@CSalazar_04'],[],@CSalazar_04 press start bitch ?
<MENTION> <MENTION> a fucking verse from don trip bitch stop assuming shit,0,1,0,"['@C_janacek07', '@Nick_504_']",[],@C_janacek07 @Nick_504_ a fucking verse from Don trip bitch stop assuming shit
<MENTION> who ever said this is so dumb my moms a cop ill have her track you down for being a lil bitch kay bye,0,1,0,['@CabHotties'],[],@CabHotties who ever said this is so dumb. My moms a cop & ill have her track you down for being a lil bitch. Kay bye(:
<MENTION> that nigga was eating that hoe lol,0,1,0,['@CaelanG15'],[],@CaelanG15 that nigga was eating that hoe lol
<MENTION> you da realest bitch out here amber,0,1,0,['@Caliqueeen14'],[],@Caliqueeen14 you da realest bitch out here Amber
<MENTION> sockin bitches in they mouf,0,1,0,['@CallMeBuffy'],[],@CallMeBuffy sockin bitches in they mouf
<MENTION> ghetto ass pocahontas,0,1,0,['@CallMeDaishaa'],[],@CallMeDaishaa ghetto ass Pocahontas .
<MENTION> ???? my bad bitch im logged in on everybody shit,0,1,0,['@CallMeRenee_'],[],@CallMeRenee_ ?????? my bad bitch im logged in on everybody shit
<MENTION> <MENTION> wussup bitch,0,1,0,"['@CallMeRenee_', '@lilmenifee__']",[],@CallMeRenee_ @lilmenifee__ wussup bitch
<MENTION> bitch im too mad im finna throw this bitch outside,0,1,0,['@CallMeRenee_'],[],@CallMeRenee_ bitch im too mad im finna throw this bitch outside
<MENTION> bitch u 1,0,1,0,['@CallMeRenee_'],[],@CallMeRenee_ bitch u 1
<MENTION> bitch u bs how fck yah ???????,0,1,0,['@CallMeRenee_'],[],@CallMeRenee_ bitch u bs how fck yah ?????????
<MENTION> wussup bitch,0,1,0,['@CallMeRenee_'],[],@CallMeRenee_ wussup bitch
<MENTION> ? das new bae my bitch bad or naw lmao,0,1,0,['@CallNeeshCakey'],[],"@CallNeeshCakey ? das new bae , my bitch bad or naw lmao"
<MENTION> ?? bitches aint shit,0,1,0,['@CallNeeshCakey'],[],@CallNeeshCakey ?? bitches aint shit
<MENTION> i can t bitch,0,1,0,['@CallNeeshCakey'],[],@CallNeeshCakey I can't bitch
<MENTION> bitch i know stfu ?,0,1,0,['@CallNeeshCakey'],[],@CallNeeshCakey bitch I know stfu ?
<MENTION> pop wop and drop it tho,0,0,1,['@CallNeeshCakey'],[],@CallNeeshCakey pop wop and drop it tho
<MENTION> to lay up w my bitch,0,1,0,['@CallNeeshCakey'],[],@CallNeeshCakey to lay up w my bitch
<MENTION> umm bitch hello i was not alive so i clearly dobt have it,0,1,0,['@CallNeeshCakey'],[],@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it
<MENTION> we in this bitch finna get crunk eyebrows on double papp ??,0,0,1,['@CallNeeshCakey'],[],@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP ??
<MENTION> is a fag # hesgay,1,0,0,['@Campos_uli'],['#hesgay'],@Campos_uli is a fag #hesgay
<MENTION> <MENTION> <MENTION> <MENTION> elissa is such a fake cunt,0,1,0,"['@CandiElissa', '@twitRless_kb', '@ElissaReillyS', '@HelenKimFitz76']",[],@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt
<MENTION> that s where i saw the leprechaun he told me to burn things,0,0,1,['@CapitolEVAN'],[],@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.
<MENTION> <MENTION> all hoes singing it too,0,1,0,"['@CapoDaAssHole', '@Alejandro_Bihhh']",[],@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too
<MENTION> <MENTION> damn that hoe just came out but look at how many hoes said his shit jamming on my shit,0,1,0,"['@CapoDaAssHole', '@Alejandro_Bihhh']",[],@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit
<MENTION> <MENTION> lmaooo niggas ain t but hoes is i think i m winning,0,1,0,"['@CapoDaAssHole', '@Alejandro_Bihhh']",[],@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning
<MENTION> <MENTION> me either but if the bitch like put on that beyoncé nigga ain t gone hesitate,0,1,0,"['@CapoDaAssHole', '@Alejandro_Bihhh']",[],@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyoncé nigga ain't gone hesitate
<MENTION> <MENTION> whatever turn them hoes on z ro ain t gone get the bitch wet,0,1,0,"['@CapoDaAssHole', '@Alejandro_Bihhh']",[],@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet
<MENTION> i fuck with takeoff nigga get on the bitch and just snap,0,1,0,['@CapoDaAssHole'],[],@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap
<MENTION> lol that hoe for 5yr old,0,1,0,['@CapoDaAssHole'],[],@CapoDaAssHole lol that hoe for 5yr old
<MENTION> naw where can i see that hoe at,0,1,0,['@CapoDaAssHole'],[],@CapoDaAssHole naw where can I see that hoe at
<MENTION> wiz had a warrant like a bitch,0,1,0,['@CapoDaAssHole'],[],@CapoDaAssHole wiz had a warrant like a bitch
<MENTION> nfn you bitch to much,0,1,0,['@CaptElliott'],[],@CaptElliott NFN you bitch to much.
<MENTION> i m not hollywood at all my nig u brought me to twitter n bounced,0,1,0,['@CarelessOne92'],[],"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced"
<MENTION> a young nigga turned into mr catchmeifyoucan i m in da field my nig # wedaopps # fukemweball,0,1,0,['@CarelessOne92'],"['#WEDAOPPS', '#FUKEMWEBALL']",@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL
<MENTION> weeknd dont save hoes b idunno bout drake,0,1,0,['@CarelessOne92'],[],"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake"
<MENTION> weeknd make muzik for the hoes b im tryna meet these women he be talkin bout,0,1,0,['@CarelessOne92'],[],"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout"
<MENTION> you styl gotta get dem tweets off my nig,1,0,0,['@CarelessOne92'],[],@CarelessOne92 you styl gotta get dem tweets off my nig
<MENTION> what can i say im a stubborn son of a bitch,0,1,0,['@CarlaFinch'],[],"@CarlaFinch What can I say, Im a stubborn son of a bitch."
<MENTION> <MENTION> als je over syrie tweet volg <MENTION> maar zij komt er vandaan zal je precies uitleggen hoe of wat,0,0,1,"['@CarlavanderWaal', '@Jaymaroley', '@Partisangirl']",[],"@CarlavanderWaal @Jaymaroley & als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan & zal je precies uitleggen hoe of wat."
<MENTION> haha i dont remember following you but ok get your pannies out of of bunch cunt,0,1,0,['@Caroline_Poe'],[],@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt
<MENTION> ps3 and case is still in the trash can idgaf anymore,0,0,1,['@Carxlito'],[],@Carxlito PS3 and case is still in the trash can. idgaf anymore
<MENTION> lebron brought the bitch down to his knees chill,0,1,0,['@CassiusClay_232'],[],@CassiusClay_232 Lebron brought the bitch down to his knees chill
<MENTION> who all in that hoe,0,1,0,['@CassiusClay_232'],[],@CassiusClay_232 who all in that hoe
<MENTION> <MENTION> that would cripple our military,0,0,1,"['@CatholicMomVA', '@Neal_Dewing']",[],@CatholicMomVA @Neal_Dewing that would cripple our military :)
<MENTION> bitch,0,1,0,['@CayMarieee'],[],@CayMarieee bitch
<MENTION> bitch i m not coming no more you said your making plans,0,1,0,['@CayMarieee'],[],@CayMarieee bitch I'm not coming no more you said your making plans !
<MENTION> bitch i m talm bout at like 10 ?,0,1,0,['@CayMarieee'],[],@CayMarieee bitch I'm talm bout at like 10 ??
<MENTION> bitch ion got no attitude ?? sorry hoe i m shaded rn,0,1,0,['@CayMarieee'],[],@CayMarieee bitch ion got no attitude ??? sorry hoe I'm shaded Rn
<MENTION> oh bitch but you couldn t answer mine when i needed a paccage delivered to your house so fucc off ??,0,1,0,['@CayMarieee'],[],@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off ??
<MENTION> omg bitch go to sleep it was just a coincidence huh ?,0,1,0,['@CayMarieee'],[],@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? ??
<MENTION> i didn t think you knew of a bird that couldn t be tamed # cajuncharm,0,0,1,['@Cay_JEN'],['#cajuncharm'],@Cay_JEN I didn't think you knew of a bird that couldn't be tamed. #cajuncharm
<MENTION> she s wearing the same shirt what a bitch,0,1,0,['@CdashRay'],[],"@CdashRay ""she's wearing the same shirt, what a bitch."""
<MENTION> negro please i got a job now lmao,0,1,0,['@CeeRoss'],[],@CeeRoss negro please...I got a job now lmao
<MENTION> shoulda told her yeah if i can take you home for pussy lol,0,1,0,['@CeeRoss'],[],@CeeRoss shoulda told her yeah if I can take you home for pussy lol
<MENTION> bitch bye you can t get it,0,1,0,['@Cee_Murda94'],[],@Cee_Murda94 bitch bye you can't get it
<MENTION> it s almost ya fucking birthday so act right niglet,0,1,0,['@Cee_Murda94'],[],@Cee_Murda94 it's almost ya fucking birthday. So act right niglet
<MENTION> no it s yellow fin it s in edgewater,0,0,1,['@Cee_Murda94'],[],@Cee_Murda94 no it's yellow fin. It's in edgewater
<MENTION> yellow fin,0,0,1,['@Cee_Murda94'],[],@Cee_Murda94 yellow fin
<MENTION> <MENTION> <MENTION> <MENTION> would i be a bitch if i said yea but never told you where i stay at,0,1,0,"['@Ceelos_ho3', '@fvtboy', '@jaimescudi_', '@AngelSoSwavey_']",[],@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?
<MENTION> ewwww her nips are def more perfect than that,0,0,1,['@CellNBuu'],[],@CellNBuu ewwww her nips are DEF more perfect than that
<MENTION> you <MENTION> brought it up first with the allusion that she s a hoe <MENTION> <MENTION>,0,1,0,"['@CenaSux43', '@TheBrianMo', '@chelsea_elisa', '@RobertBarber64']",[],@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64
<MENTION> text me niggah,0,1,0,['@Cesar_K_Garcia'],[],@Cesar_K_Garcia text me niggah!
<MENTION> <MENTION> yes because i too want to be fat and have a fat bitch wife,0,1,0,"['@Ch4BrickTamland', '@Ch4BrianFantana']",[],@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife
<MENTION> really <MENTION> <MENTION> <MENTION> are my nudes trash,0,0,1,"['@ChaldeanCutie', '@RileyAintShit', '@KILLSheredon', '@CHILDISHCUDl']",[],@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?
<MENTION> fuck outta here and go put some more trash ass ink on your faggot ass self pussy,1,0,0,['@ChaleCarlo5'],[],@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
<MENTION> stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,1,0,0,['@ChaleCarlo5'],[],@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
<MENTION> way to delete your tweets you stanky bitch,0,1,0,['@ChandailBailey'],[],@ChandailBailey way to delete your tweets you stanky bitch
<MENTION> pussy,0,1,0,['@Channnteeel'],[],@Channnteeel pussy
<MENTION> your gay stfu dumb monkey,1,0,0,['@CharleeRedz13'],[],"@CharleeRedz13 your gay stfu, dumb monkey"
<MENTION> these bitches need guidance,0,1,0,['@CharlesBWaffle'],[],@CharlesBWaffle these bitches need guidance.
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> hi charlie,0,0,1,"['@Charlie4927', '@StacyDmomof5', '@RevkahJC', '@cantUCIMblonde', '@Kacado', '@PattiSM74']",[],@Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74 Hi Charlie
<MENTION> come on charlie our government was just trying to protect the dese to oise atleast that s what barack obama says,0,0,1,['@CharlieDaniels'],[],"@CharlieDaniels Come on Charlie! 
OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE! 
Atleast, that's what Barack Obama Says..."
<MENTION> homeee fag,0,1,0,['@CharlseyKay'],[],@CharlseyKay Homeee fag
<MENTION> <MENTION> i was 200 bitch,0,1,0,"['@ChaseBasford', '@justinbieber']",[],@ChaseBasford @justinbieber I was 200 bitch
<MENTION> chase you god damn faggot ????,1,0,0,['@ChaseBasford'],[],@ChaseBasford chase you God damn faggot ????
<MENTION> you become retarded,0,1,0,['@ChaseManhatttan'],[],@ChaseManhatttan you become retarded
<MENTION> be gone my nigguh,1,0,0,['@CheCha__'],[],@CheCha__ be gone my nigguh
<MENTION> <MENTION> ima get this so every time i throw trash away its where it really belongs <URL>,0,0,1,"['@CheckMyLingo_', '@Kingpin_Terror']",[],@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away its where it really belongs http://t.co/DRGBekvzun
<MENTION> <MENTION> faaaaggggottttt speaking with the blonde hair and confused you re a hypocrite cuz you re a faggot,1,0,0,"['@Cheesus85', '@greyyygoose']",[],"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
<MENTION> cause hes a faggot,0,1,0,['@CheyenneDoan'],[],@CheyenneDoan cause hes a faggot
<MENTION> dunleavy my cracker ass honkie,0,1,0,['@Chicago_Rose1'],[],"@Chicago_Rose1 Dunleavy, my cracker ass honkie"
<MENTION> if mccoy wasn t trash that s a td,0,0,1,['@ChickenColeman'],[],@ChickenColeman if McCoy wasn't trash that's a TD
<MENTION> fucc droppin songs when yu gon drop a mixtape nicca,0,1,0,['@ChiefKeef'],[],@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca
<MENTION> chink thats better then having the rug rats running around yah crib girl enjoy life lol,0,0,1,['@Chink_19'],[],@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol
<MENTION> shut up chink,1,0,0,['@Chink_19'],[],@Chink_19 shut up chink.!!!
<MENTION> ok you billy goat hair hillbilly,0,1,0,['@Chokmah_Makob'],[],@Chokmah_Makob ok! you billy goat hair hillbilly
<MENTION> you motherfuckin bullshit slingin son of a whore you disgraced all vets with ur crap now go off to pussy land where u belong,0,1,0,['@ChrisHeben'],[],@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong
<MENTION> dont be a bitch,0,1,0,['@ChrisMcDowell_'],[],@ChrisMcDowell_ dont be a bitch.
<MENTION> pussy ass nigga,0,1,0,['@ChrisMcDowell_'],[],@ChrisMcDowell_ pussy ass nigga.
<MENTION> <MENTION> <MENTION> dawson and nicky hickman delete the fake account and and stop being bitches,0,1,0,"['@ChrisPowellswag', '@_cblaze', '@Dswizzle3']",[],@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches
<MENTION> <MENTION> <MENTION> right in the pussy,0,1,0,"['@ChrisProbst11', '@thorsyndirgard', '@peta']",[],"@ChrisProbst11 @thorsyndirgard @peta 
Right in the pussy"
<MENTION> <MENTION> you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace,1,0,0,"['@Chris_Anzueto', '@Josh_Mackey15']",[],"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
<MENTION> you don t know what your talking about retarded faggot,1,0,0,['@Christian_ESEM'],[],@Christian_ESEM you don't know what your talking about retarded faggot
<MENTION> fugly bitch john will dump ur ratchet ass,0,1,0,['@ChristyMack'],[],@ChristyMack fugly bitch john will dump ur ratchet ass
<MENTION> ugly flat chested prude ass white bitch,0,1,0,['@ChristyMack'],[],@ChristyMack ugly flat chested prude ass white bitch
<MENTION> so i guess that makes us blacks double niggers huh,0,1,0,['@Chrisworldpeace'],[],"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?"
<MENTION> naw u just retarded kinfolk lol,0,1,0,['@Chykalet'],[],@Chykalet naw u just retarded kinfolk lol
<MENTION> did you just call my sweet baboo a ho,0,1,0,['@CinWicked'],[],@CinWicked Did you just call My Sweet Baboo a ho?!?!
<MENTION> and btw don t ever bring up past hoes wit yo ol lady i took that l in hs tryna be semi honest smh,0,1,0,['@CiscoAllDay'],[],@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh
